Data Aset Tanah Pemda yang telah disertifikatkan 5 tahun terkahir;;;;;;;;;;;;;;
No;Nomor Sertifikat;Nama Pemilik / Instansi;Luas (m²);Lokasi / Alamat;Desa / Kelurahan;Kecamatan;Tanggal Terbit Sertifikat;Nomor Hak (HGB/Hak Pakai/Hak Milik);Peruntukan / Penggunaan Tanah;Koordinat Longitude;Koordinat Latitude;Nilai Aset (Rp);Status Tanah (Aktif / Sengketa / Tidak Digunakan);Keterangan
84;00125;Dinas Pekerjaan Umum dan Penataan Ruang;610,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Dr. Sutomo;120.260595;-5.117.918;;Aktif;
85;00124;Dinas Pekerjaan Umum dan Penataan Ruang;715,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Dr. Sutomo;120.260410;-5.118.525;;Aktif;
86;00130;Dinas Pekerjaan Umum dan Penataan Ruang;2.018,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto;120.262949;-5.118.686;;Aktif;
87;00131;Dinas Pekerjaan Umum dan Penataan Ruang;1.117,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto;120.264166;-5.118.005;;Aktif;
88;00122;Dinas Pekerjaan Umum dan Penataan Ruang;1.935,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Anggrek;120.262018;-5.117.466;;Aktif;Penamaan Pada Peta Jl. Kelapa
89;00140;Dinas Pekerjaan Umum dan Penataan Ruang;1.047,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Muh. Tahir Bidang 2;120.259587;-5.116.794;;Aktif;Penamaan Pada Peta Jl. Haji Agus Salim
90;00144;Dinas Pekerjaan Umum dan Penataan Ruang;704,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. Muh. Tahir Bidang 3;120.258990;-5.118.193;;Aktif;651
91;00146;Dinas Pekerjaan Umum dan Penataan Ruang;536,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. Markisa Bidang 1;120.260139;-5.116.968;;Aktif;
92;00035;Dinas Pekerjaan Umum dan Penataan Ruang;1.948,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;27-07-2023;HAK PAKAI;Tanah Ruas Jl. Titang Bidang 2;120.267908;-5.115.360;;Aktif;
93;00157;Dinas Pekerjaan Umum dan Penataan Ruang;2.066,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto Bidang 5;120.265379;-5.116.418;;Aktif;
94;00158;Dinas Pekerjaan Umum dan Penataan Ruang;1.795,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto Bidang 4;120.264892;-5.117.609;;Aktif;
95;00153;Dinas Pekerjaan Umum dan Penataan Ruang;1.897,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. DR. Samratulangi Bidang 1;120.260012;-5.119.694;;Aktif;Penamaan Pada Peta Jl. DR.Sutomo
96;00147;Dinas Pekerjaan Umum dan Penataan Ruang;3.007,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. DR. Samratulangi Bidang 2;120.259282;-5.121.971;;Aktif;Penamaan Pada Peta Jl. DR.Sutomo
97;00151;Dinas Pekerjaan Umum dan Penataan Ruang;3.026,00;Kel. Balangnipa ;Kel. Balangnipa ;SINJAI UTARA;28-07-2023;HAK PAKAI;Tanah Ruas Jl. Gunung Bawakaraeng Bidang 2;120.254841;-5.118.905;;Aktif;
98;00143;Dinas Pekerjaan Umum dan Penataan Ruang;4.032,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;27-01-2023;HAK PAKAI;Tanah Ruas Jl. Teratai Bidang 1;120.261765;-5.120.799;;Aktif;
